Run    HMSP     SHMP
5342   5.2700   5.2700
5343   5.2700   5.2700
5344   5.2700   5.2700
5345   5.2700   5.2700
5346   5.2700   5.2700
5347   5.2700   5.2700
5348   5.2700   5.2700
5349   5.2700   5.2700
5350   5.2700   5.2700
5351   5.2700   5.2700
5352   5.2700   5.2700
5353   5.2700   5.2700
5354   5.2700   5.2700
5355   5.2700   5.2700
5356   5.2700   5.2700
5357   5.2700   5.2700
5358   5.2700   5.2700
5359   5.2700   5.2700
5360   5.2700   5.2700
5361   5.2700   5.2700
5362   5.2700   5.2700
5363   5.2700   5.2700
5364   5.2700   5.2700
5365   5.2700   5.2700
5366   5.2700   5.2700
6009   6.2690   6.2690
6012   6.2690   6.2690
6018   4.5080   4.2620
6019   4.5080   4.2620
6020   4.5080   4.2620
6021   4.5080   4.2620
6022   4.5080   4.2620
6023   4.5080   4.2620
6024   4.5080   4.2620
6025   4.5080   4.2620
6026   4.5080   4.2620
6027   4.5080   3.6530
6028   4.5080   3.6530
6029   4.5080   3.6530
6030   4.5080   3.6530
6031   4.5080   3.6530
6032   4.5080   3.6530
6033   4.5080   3.6530
6034   4.5080   3.6530
6035   4.5080   3.6530
6036   4.5080   3.6530
6037   6.2690   6.2690
6038   4.5080   3.0430
6039   4.5080   3.0430
6040   4.5080   3.0430
6041   4.5080   3.0430
6042   4.5080   3.0430
6043   4.5080   3.0430
6044   4.5080   3.0430
6045   4.5080   3.0430
6046   4.5080   3.0430
6047   6.2690   6.2690
6048   6.2690   6.2690
6049   4.5080   2.4330
6050   4.5080   2.4330
6051   4.5080   2.4330
6052   4.5080   2.4330
6053   4.5080   2.4330
6054   4.5080   2.4330
6055   4.5080   2.4330
6056   4.5080   2.4330
6057   4.5080   2.4330
6058   4.5080   2.4330
6059   4.5080   2.4330
6060   4.5080   2.4330
6061   4.5080   2.4330
6062   4.5080   2.4330
6063   4.5080   2.4330
6064   4.5080   2.4330
6065   4.5080   4.2620
6066   4.5080   4.2620
6067   4.5080   4.2620
6068   4.5080   4.2620
6070   4.5080   4.2620
6071   4.5080   4.2620
6072   6.2690   6.2690
6073   4.5080   3.6530
6075   4.5080   3.6530
6076   4.5080   3.6530
6077   4.5080   3.6530
6078   4.5080   3.6530
6079   4.5080   3.6530
6080   4.5080   3.6530
6081   4.5080   3.6530
6082   4.5080   3.6530
6083   4.5080   3.6530
6084   4.5080   3.0430
6085   4.5080   3.0430
6086   4.5080   3.0430
6087   4.5080   3.0430
6088   4.5080   3.0430
6089   4.5080   3.0430
6090   4.5080   3.0430
6091   4.5080   2.4330
6092   4.5080   2.4330
6093   4.5080   2.4330
6094   4.5080   2.4330
6095   4.5080   2.4330
6096   4.5080   2.4330
6097   4.5080   2.4330
6098   4.5080   2.4330
6099   4.5080   2.4330
6100   4.5080   2.4330
6101   4.5080   2.4330
6102   4.5080   2.4330
6103   4.5080   2.4330
6104   5.9830   3.2290
6105   5.9830   3.2290
6106   5.9830   3.2290
6108   5.9830   3.2290
6109   5.9830   3.2290
6110   5.9830   3.2290
6111   5.9830   3.2290
6112   5.9830   3.2290
6113   5.9830   3.2290
6114   5.9830   3.2290
6115   5.9830   2.7670
6116   5.9830   2.7670
6117   5.9830   2.7670
6118   5.9830   2.7670
6119   5.9830   2.7670
6120   5.9830   2.7670
6121   5.9830   2.7670
6122   5.9830   2.3040
6123   5.9830   2.3040
6124   5.9830   2.3040
