#HMS TRACKING EFFICIENCY
#run      Did       Should      eff=did/should    error in eff
7593      55033     55723       0.987617         0.000468473
7594      124982    126498     0.988016         0.000305948
7595      68064     68869       0.988311         0.000409563
7596      36513     36925       0.988842         0.000546628
7597      84945     85991       0.987836         0.000373814
7599      2246      2272         0.988556         0.00223141
7600      6508      6572         0.990262         0.00121134
7601      12857     12991       0.989685         0.000886458
7602      38654     39066       0.989454         0.00051683
7603      42396     42912       0.987975         0.000526162
7604      18695     18894       0.989468         0.000742683
7605      51689     52194       0.990325         0.000428464
7606      44852     45341       0.989215         0.000485075
7607      18059     18256       0.989209         0.000764666
7608      477414     483153     0.988122         0.000155861
7609      483678     489566     0.987973         0.000155792
7610      297377     301018     0.987904         0.000199239
7611      529072     535436     0.988114         0.000148102
7612      427831     433118     0.987793         0.000166852
7613      564981     572023     0.987689         0.000145796
7614      553848     560746     0.987699         0.0001472
7615      582433     589508     0.987998         0.000141825
7616      186640     188904     0.988015         0.000250368
7617      55376     55991       0.989016         0.000440475
7618      60509     61167       0.989243         0.000417107
7619      42523     42960       0.989828         0.000484124
7620      24007     24265       0.989367         0.000658428
7621      16807     16981       0.989753         0.000772814
7622      59707     60333       0.989624         0.000412541
7623      60268     60903       0.989574         0.000411597
7625      238444     241294     0.988189         0.000219936
7626      258504     261536     0.988407         0.000209315
7627      194728     197017     0.988382         0.000241425
7628      229613     232335     0.988284         0.000223239
7629      215947     218421     0.988673         0.000226429
7630      241971     244849     0.988246         0.000217811
7631      251675     254532     0.988775         0.000208815
7632      256555     259578     0.988354         0.000210575
7633      237138     239901     0.988483         0.000217843
7634      268266     271428     0.988351         0.000205959
7635      148906     150578     0.988896         0.000270042
7636      164806     166620     0.989113         0.000254223
7637      54534     55158       0.988687         0.000450312
7638      43578     44020       0.989959         0.000475193
7639      15040     15193       0.98993          0.000810036
7640      23679     23926       0.989677         0.000653469
7641      46506     46988       0.989742         0.000464834
7642      247269     249918     0.989401         0.000204847
7643      216303     218674     0.989157         0.000221463
7644      252121     254900     0.989098         0.000205681
7645      109942     111100     0.989577         0.000304695
7646      236800     239321     0.989466         0.000208692
7647      184873     186869     0.989319         0.0002378
7648      198175     200324     0.989272         0.000230167
7649      181867     183864     0.989139         0.000241725
7650      194367     196451     0.989392         0.000231142
7651      228500     230981     0.989259         0.000214483
7652      240182     242842     0.989046         0.000211215
7654      41174     41588       0.990045         0.00048681
7655      35937     36309       0.989755         0.000528471
7657      48132     48642       0.989515         0.000461833
7658      49045     49584       0.98913          0.000465671
7659      11233     11350       0.989692         0.000948084
7660      23041      23273       0.990031         0.000651203
7661      154673     156351     0.989268         0.000260587
7662      193605     195719     0.989199         0.000233648
7663      206250     208498     0.989218         0.000226174
7666      79824      80694       0.989219         0.00036355
7667      111923     113101     0.989585         0.000301879
7668      184092     186107     0.989173         0.000239889
7669      188472     190469     0.989515         0.000233387
7670      176009     177895     0.989398         0.000242825
7671      276527     279768     0.988415         0.000202307
7672      328283     332143     0.988378         0.000185965
7673      11605     11712       0.990864         0.00087916
7674      5409     5466         0.989572         0.00137402
7675      12843     12978       0.989598         0.000890612
7676      15529     15686       0.989991         0.000794792
7677      6635     6710         0.988823         0.00128342
7678      1769     1789         0.988821         0.00248578
7679      236077     238849     0.988394         0.000219148
7680      208952     211363     0.988593         0.000230982
7681      215687     218180     0.988574         0.000227536
7682      217368     219971     0.988167         0.000230561
7684      122517     123877     0.989021         0.000296061
7685      155927     157680     0.988883         0.00026405
7686      155755     157439     0.989304         0.000259253
7687      164831     166657     0.989043         0.000254997
7688      133297     134708     0.989525         0.000277385
7689      192119     194262     0.988969         0.000236982
7690      69502     70242       0.989465         0.000385229
7692      82752     83671       0.989017         0.000360317
7694      83376     84280       0.989274         0.000354828
7695      57255     57862       0.98951          0.000423556
7697      28025     28343       0.98878          0.00062563
7698      32828     33194       0.988974         0.000573157
7699      254300     257301     0.988337         0.000211663
7702      246734     249564     0.98866          0.000211951
7703      36258     36632       0.98979          0.000525227
7706      184717     186791     0.988897         0.000242451
7707      160008     161784     0.989022         0.000259053
7708      170432     172288     0.989227         0.000248704
7709      178095     180071     0.989027         0.000245501
7710      90348     91348       0.989053         0.000344279
7711      37543     38002       0.987922         0.000560352
7712      19067     19305       0.987672         0.000794191
7713      16215     16391       0.989262         0.00080502
7714      16394     16569       0.989438         0.000794177
7715      42488     42990       0.988323         0.000518124
7716      94867     95928       0.98894          0.000337674
7717      100186     101299     0.989013         0.000327524
7718      141886     143473     0.988939         0.000276123
7719      116650     117931     0.989138         0.000301839
7720      120091     121436     0.988924         0.000300328
7721      133605     135018     0.989535         0.000276946
7722      116884     118187     0.988975         0.000303735
7723      39140     39595       0.988509         0.000535619
7724      73792     74701       0.987831         0.000401141
7725      19010     19223       0.98892          0.000755004
7727      53404     54058       0.987902         0.000470203
7728      35876     36264       0.989301         0.000540262
7729      45266     45818       0.987952         0.000509684
7730      77970     78813       0.989304         0.000366421
7733      58599     59301       0.988162         0.000444141
7735      182214     184411     0.988086         0.000252654
7736      210094     212592     0.98825          0.000233713
7737      252461     255553     0.987901         0.00021627
7738      273017     276231     0.988365         0.000204037
7739      29078     29408       0.988779         0.000614244
7740      315217     319031     0.988045         0.000192418
7741      102806     103974     0.988766         0.000326846
7742      14907     15081       0.988462         0.00086961
7743      89369     90419       0.988387         0.000356286
7747      24983     25253       0.989308         0.000647194
7748      59120     59759       0.989307         0.000420739
7749      18129     18290       0.991197         0.000690684
7750      17320     17519       0.988641         0.000800639
7751      56377     56969       0.989608         0.000424868
7752      65139     65868       0.988932         0.000407636
7753      83403     84376       0.988468         0.000367552
7754      167799     169730     0.988623         0.000257423
7755      84020     84956       0.988983         0.000358128
7757      334042     338017     0.98824          0.000185422
7758      417919     422699     0.988692         0.000162635
7759      325440     329200     0.988578         0.000185199
7760      107085     108351     0.988316         0.000326461
7762      19321     19526       0.989501         0.00072941
7763      82805     83735       0.988894         0.000362167
7765      48341     48879       0.988993         0.000471917
7766      91212     92178       0.98952          0.000335408
7768      120346     121647     0.989305         0.000294919
7769      79923     80762       0.989611         0.000356785
7770      55769     56388       0.989022         0.000438795
7771      63018     63658       0.989946         0.000395406
7772      90911     91910       0.989131         0.000342016
7773      87595     88461       0.99021          0.000331033
7774      51304     51840       0.98966          0.000444284
7775      212174     214522     0.989055         0.00022464
7776      191497     193583     0.989224         0.000234659
7777      220415     222735     0.989584         0.000215121
7778      116852     118091     0.989508         0.000296503
7779      113721     114914     0.989618         0.000299007
7781      118727     119951     0.989796         0.000290175
7782      153771     155414     0.989428         0.00025943
7783      174521     176378     0.989471         0.000243032
7784      183697     185736     0.989022         0.000241777
7785      190870     192896     0.989497         0.000232115
7786      179203     181129     0.989367         0.000241001
7787      119204     120563     0.988728         0.000304042
7790      45045     45546       0.989            0.000488728
7791      8222     8305         0.990006         0.00109149
7792      33795     34159       0.989344         0.000555545
7793      40935     41369       0.989509         0.000500933
7794      40132     40569       0.989228         0.000512501
7796      185015     187259     0.988017         0.00025145
7797      174063     176112     0.988365         0.000255529
7798      298258     301748     0.988434         0.000194645
7799      289048     292535     0.98808          0.000200652
7800      96688     97792       0.988711         0.000337844
7801      49060     49567       0.989771         0.000451938
7802      37181     37598       0.988909         0.000540109
7803      37222     37599       0.989973         0.000513814
7804      37591     37976       0.989862         0.000514054
7805      252575     255383     0.989005         0.000206351
7806      300475     303979     0.988473         0.000193607
7807      152688     154462     0.988515         0.000271111
7808      160764     162604     0.988684         0.000262305
7809      140887     142524     0.988514         0.000282246
7811      48417     48924       0.989637         0.000457847
7812      58198     58861       0.988736         0.00043498
7813      222536     225125     0.9885           0.000224714
7814      293433     296700     0.988989         0.000191581
7815      167933     169938     0.988202         0.000261933
7816      181587     183530     0.989413         0.000238901
7817      208006     210349     0.988861         0.00022883
7820      61196      61870       0.989106         0.000417322
7822      8841 	     8939         0.989037         0.00110136
7823      3087     3125         0.98784          0.00196058
7824      2149     2171         0.989866         0.00214951
7826      9050     9175         0.986376         0.00121024
7827      6890     6978         0.987389         0.00133584
7828      2011     2029         0.991129         0.00208171
7829      1057     1068         0.9897           0.00308942
7830      33904     34287       0.98883          0.000567585
