Run	Hms_ang	shms_ang rate	hms_P    shms_P	
6009   -21.05   23.613   0.56   6.3580   5.4140
6010   -19.77   25.009   1.06   6.3580   5.0900
6011   -19.77   25.009   0.21   6.3580   5.0900
6012   -18.56   26.445   1.62   6.3580   4.7680
6013   -21.29   23.390   0.71   5.9830   5.4710
6014   -21.29   23.390   0.15   5.9830   5.4710
6015   -22.42   22.290   0.13   5.7140   5.7440
6016   -22.42   22.291   0.62   5.7140   5.7440
6017   -24.41   20.585   0.46   5.2700   6.1930
6018   -16.63   11.612   17.8   4.5080   4.2620
6019   -16.63   11.612   17.8   4.5080   4.2620
6020   -16.63   11.612   17.8   4.5080   4.2620
6022   -16.63   11.612   4.32   4.5080   4.2620
6023   -16.63   11.612   12.4   4.5080   4.2620
6024   -16.63   11.612   14.7   4.5080   4.2620
6025   -16.63   11.612   13.6   4.5080   4.2620
6026   -16.63   11.612   4.18   4.5080   4.2620
6027   -16.63   11.612   4.23   4.5080   3.6530
6028   -16.63   11.612   4.26   4.5080   3.6530
6029   -16.63   11.612   10.3   4.5080   3.6530
6030   -16.63   11.612   9.10   4.5080   3.6530
6031   -16.63   11.612   9.40   4.5080   3.6530
6032   -16.63   11.612   9.55   4.5080   3.6530
6033   -16.63   11.612   10.0   4.5080   3.6530
6034   -16.63   11.612   9.01   4.5080   3.6530
6035   -16.63   11.612   9.60   4.5080   3.6530
6036   -16.63   11.612   9.91   4.5080   3.6530
6038   -16.63   11.612   5.07   4.5080   3.0430
6039   -16.63   11.612   5.09   4.5080   3.0430
6040   -16.63   11.612   5.11   4.5080   3.0430
6041   -16.63   11.612   5.12   4.5080   3.0430
6042   -16.63   11.612   5.10   4.5080   3.0430
6043   -16.63   11.612   5.99   4.5080   3.0430
6044   -16.63   11.612   6.02   4.5080   3.0430
6045   -16.63   11.612   6.02   4.5080   3.0430
6046   -16.63   11.612   4.34   4.5080   3.0430
6049   -16.63   11.612   3.64   4.5080   2.4330
6050   -16.63   11.612   3.63   4.5080   2.4330
6051   -16.63   11.612   3.63   4.5080   2.4330
6052   -16.63   11.612   3.63   4.5080   2.4330
6053   -16.63   11.612   3.64   4.5080   2.4330
6055   -16.63   11.612   4.24   4.5080   2.4330
6056   -16.63   11.612   4.34   4.5080   2.4330
6057   -16.63   11.612   4.36   4.5080   2.4330
6058   -16.63   11.612   4.38   4.5080   2.4330
6059   -16.63   11.612   3.42   4.5080   2.4330
6060   -16.63   11.612   3.43   4.5080   2.4330
6061   -16.63   11.612   3.84   4.5080   2.4330
6062   -16.63   11.612   3.83   4.5080   2.4330
6063   -16.63   11.612   3.84   4.5080   2.4330
6064   -16.63   11.612   3.84   4.5080   2.4330
6065   -16.63   11.612   15.1   4.5080   4.2620
6066   -16.63   11.612   16.2   4.5080   4.2620
6067   -16.63   11.612   4.34   4.5080   4.2620
6068   -16.63   11.612   27.0   4.5080   4.2620
6070   -16.63   11.612   27.1   4.5080   4.2620
6071   -16.63   11.612   27.2   4.5080   4.2620
6073   -16.63   11.612   16.6   4.5080   3.6530
6080   -16.63   11.612   4.35   4.5080   3.6530
6081   -16.63   11.612   16.5   4.5080   3.6530
6082   -16.63   11.612   15.6   4.5080   3.6530
6083   -16.63   11.612   15.8   4.5080   3.6530
6084   -16.63   11.612   10.5   4.5080   3.0430
6085   -16.63   11.612   10.5   4.5080   3.0430
6086   -16.63   11.612   10.5   4.5080   3.0430
6087   -16.63   11.612   4.23   4.5080   3.0430
6088   -16.63   11.612   9.67   4.5080   3.0430
6089   -16.63   11.612   9.78   4.5080   3.0430
6090   -16.63   11.612   9.73   4.5080   3.0430
6091   -16.63   11.612   5.73   4.5080   2.4330
6093   -16.63   11.612   5.62   4.5080   2.4330
6094   -16.63   11.612   5.50   4.5080   2.4330
6095   -16.63   11.612   5.65   4.5080   2.4330
6096   -16.63   11.612   5.68   4.5080   2.4330
6097   -16.63   11.612   4.04   4.5080   2.4330
6098   -16.63   11.612   4.23   4.5080   2.4330
6099   -16.63   11.612   5.63   4.5080   2.4330
6101   -16.63   11.612   5.26   4.5080   2.4330
6102   -16.63   11.612   5.71   4.5080   2.4330
6103   -16.63   11.612   5.69   4.5080   2.4330
6104   -14.24   17.038   11.8   5.9830   3.2290
6105   -14.24   17.038   10.4   5.9830   3.2290
6106   -14.24   17.038   9.36   5.9830   3.2290
6109   -14.24   17.038   3.67   5.9830   3.2290
6110   -14.24   17.038   3.78   5.9830   3.2290
6111   -14.24   17.038   19.3   5.9830   3.2290
6112   -14.24   17.038   20.2   5.9830   3.2290
6114   -14.24   17.038   19.3   5.9830   3.2290
6115   -14.24   17.038   21.0   5.9830   2.7670
6116   -14.24   17.038   20.6   5.9830   2.7670
6117   -14.24   17.038   13.8   5.9830   2.7670
6118   -14.24   17.038   15.6   5.9830   2.7670
6119   -14.24   17.038   5.03   5.9830   2.7670
6120   -14.24   17.038   4.98   5.9830   2.7670
6121   -14.24   17.038   14.9   5.9830   2.7670
6122   -14.24   17.038   24.5   5.9830   2.3040
6123   -14.24   17.038   24.3   5.9830   2.3040
6124   -14.24   17.038   22.5   5.9830   2.3040
6125   -14.24   17.038   22.9   5.9830   2.3040
6126   -14.24   17.038   19.8   5.9830   2.3040
6127   -14.24   17.038   5.03   5.9830   2.3040
6128   -14.24   17.038   4.95   5.9830   2.3040
6129   -14.24   17.038   4.64   5.9830   1.8420
6130   -14.24   17.038   4.99   5.9830   1.8420
